Województwo zameldowania na pobyt stały,Nazwisko aktualne,Liczba
DOLNOŚLĄSKIE,PAJĄK,455
DOLNOŚLĄSKIE,POLAŃSKI,453
DOLNOŚLĄSKIE,JANISZEWSKI,449
DOLNOŚLĄSKIE,KOSIŃSKI,447
DOLNOŚLĄSKIE,SIENKIEWICZ,447
DOLNOŚLĄSKIE,MARZEC,446
DOLNOŚLĄSKIE,TUREK,445
DOLNOŚLĄSKIE,CIEŚLIK,443
DOLNOŚLĄSKIE,PARTYKA,443
DOLNOŚLĄSKIE,WITEK,443
DOLNOŚLĄSKIE,ŁUKASIK,442
DOLNOŚLĄSKIE,ŻURAWSKI,442
DOLNOŚLĄSKIE,BARAŃSKI,441
DOLNOŚLĄSKIE,GÓRAL,439
DOLNOŚLĄSKIE,MAŁEK,439
DOLNOŚLĄSKIE,GÓRNIAK,438
DOLNOŚLĄSKIE,KRZYŻANOWSKI,438
DOLNOŚLĄSKIE,GRZYBOWSKI,437
DOLNOŚLĄSKIE,WOŁOSZYN,437
DOLNOŚLĄSKIE,JUSZCZAK,436
DOLNOŚLĄSKIE,RATAJCZAK,436
DOLNOŚLĄSKIE,RZEPKA,435
DOLNOŚLĄSKIE,ZAREMBA,435
DOLNOŚLĄSKIE,BIELAK,434
DOLNOŚLĄSKIE,ROMANOWSKI,433
DOLNOŚLĄSKIE,TARNOWSKI,431
DOLNOŚLĄSKIE,CZECH,430
DOLNOŚLĄSKIE,KORZENIOWSKI,428
DOLNOŚLĄSKIE,CHRZANOWSKI,427
DOLNOŚLĄSKIE,KLIMCZAK,423
DOLNOŚLĄSKIE,BIELAWSKI,420
DOLNOŚLĄSKIE,STACHOWIAK,419
DOLNOŚLĄSKIE,PANEK,414
DOLNOŚLĄSKIE,DŁUGOSZ,412
DOLNOŚLĄSKIE,RÓŻAŃSKI,412
DOLNOŚLĄSKIE,ADAMOWICZ,410
DOLNOŚLĄSKIE,JÓŹWIAK,410
DOLNOŚLĄSKIE,MICHAŁOWSKI,410
DOLNOŚLĄSKIE,SOWIŃSKI,410
DOLNOŚLĄSKIE,CICHOŃ,409
DOLNOŚLĄSKIE,KUBIK,409
DOLNOŚLĄSKIE,BUCZEK,408
DOLNOŚLĄSKIE,MALEC,407
DOLNOŚLĄSKIE,SOŁTYS,406
DOLNOŚLĄSKIE,STRZELECKI,405
DOLNOŚLĄSKIE,KALETA,404
DOLNOŚLĄSKIE,SZCZYGIEŁ,403
DOLNOŚLĄSKIE,GÓRA,402
DOLNOŚLĄSKIE,JANIAK,402
DOLNOŚLĄSKIE,NIEMIEC,402
DOLNOŚLĄSKIE,ŻUK,402
DOLNOŚLĄSKIE,SZOSTAK,400
DOLNOŚLĄSKIE,BUJAK,399
DOLNOŚLĄSKIE,KRZEMIŃSKI,399
DOLNOŚLĄSKIE,SKRZYPEK,398
DOLNOŚLĄSKIE,SZYMCZYK,398
DOLNOŚLĄSKIE,STEC,395
DOLNOŚLĄSKIE,ŻUREK,395
DOLNOŚLĄSKIE,BILIŃSKI,394
DOLNOŚLĄSKIE,SŁOWIK,392
DOLNOŚLĄSKIE,STEFAŃSKI,392
DOLNOŚLĄSKIE,GAŁKA,389
DOLNOŚLĄSKIE,MILEWSKI,388
DOLNOŚLĄSKIE,STEFANIAK,388
DOLNOŚLĄSKIE,GRACZYK,387
DOLNOŚLĄSKIE,KOZIEŁ,387
DOLNOŚLĄSKIE,KUŚ,386
DOLNOŚLĄSKIE,PIETRZYK,386
DOLNOŚLĄSKIE,BOROWIEC,384
DOLNOŚLĄSKIE,GAWLIK,383
DOLNOŚLĄSKIE,SZATKOWSKI,383
DOLNOŚLĄSKIE,TOKARSKI,383
DOLNOŚLĄSKIE,ŁUKASIEWICZ,382
DOLNOŚLĄSKIE,CZAJKA,381
DOLNOŚLĄSKIE,HAJDUK,380
DOLNOŚLĄSKIE,KRÓLIKOWSKI,380
DOLNOŚLĄSKIE,KULA,379
DOLNOŚLĄSKIE,ROGALA,379
DOLNOŚLĄSKIE,ROSIŃSKI,378
DOLNOŚLĄSKIE,AUGUSTYNIAK,377
DOLNOŚLĄSKIE,GAWEŁ,377
DOLNOŚLĄSKIE,MAJCHER,377
DOLNOŚLĄSKIE,SIWEK,376
DOLNOŚLĄSKIE,SZYDEŁKO,376
DOLNOŚLĄSKIE,RÓŻYCKI,373
DOLNOŚLĄSKIE,SKOCZYLAS,372
DOLNOŚLĄSKIE,BURZYŃSKI,371
DOLNOŚLĄSKIE,SKRZYPCZAK,371
DOLNOŚLĄSKIE,STELMACH,370
DOLNOŚLĄSKIE,JANOWSKI,369
DOLNOŚLĄSKIE,MIELNIK,369
DOLNOŚLĄSKIE,GÓRNY,368
DOLNOŚLĄSKIE,MAJKA,368
DOLNOŚLĄSKIE,DĘBSKI,366
DOLNOŚLĄSKIE,SURMA,366
DOLNOŚLĄSKIE,CZYŻ,365
DOLNOŚLĄSKIE,CYGAN,364
DOLNOŚLĄSKIE,GRZYB,364
DOLNOŚLĄSKIE,PAŁKA,364
DOLNOŚLĄSKIE,WIĄCEK,364
DOLNOŚLĄSKIE,JANAS,363
DOLNOŚLĄSKIE,SIWAK,363
DOLNOŚLĄSKIE,PIEKARSKI,361
DOLNOŚLĄSKIE,BANACH,360
DOLNOŚLĄSKIE,SŁOWIŃSKI,360
DOLNOŚLĄSKIE,BILSKI,359
DOLNOŚLĄSKIE,CHUDY,359
DOLNOŚLĄSKIE,FILIPIAK,359
DOLNOŚLĄSKIE,JĘDRZEJCZYK,359
DOLNOŚLĄSKIE,KISIEL,359
DOLNOŚLĄSKIE,BURY,358
DOLNOŚLĄSKIE,LISIECKI,357
DOLNOŚLĄSKIE,BEDNARCZYK,356
DOLNOŚLĄSKIE,ZYCH,356
DOLNOŚLĄSKIE,POPŁAWSKI,355
DOLNOŚLĄSKIE,MASŁOWSKI,354
DOLNOŚLĄSKIE,PIĄTKOWSKI,354
DOLNOŚLĄSKIE,MIKOŁAJCZAK,353
DOLNOŚLĄSKIE,TRACZ,353
DOLNOŚLĄSKIE,KOGUT,352
DOLNOŚLĄSKIE,RACZYŃSKI,352
DOLNOŚLĄSKIE,CZAJA,350
DOLNOŚLĄSKIE,WĄSIK,348
DOLNOŚLĄSKIE,IWANICKI,347
DOLNOŚLĄSKIE,PASZKOWSKI,347
DOLNOŚLĄSKIE,PIETRAS,347
DOLNOŚLĄSKIE,ROGALSKI,347
DOLNOŚLĄSKIE,JANUSZ,346
DOLNOŚLĄSKIE,MATYSIAK,344
DOLNOŚLĄSKIE,MAĆKOWIAK,343
DOLNOŚLĄSKIE,KULESZA,342
DOLNOŚLĄSKIE,SZAFRAŃSKI,342
DOLNOŚLĄSKIE,JANUS,341
DOLNOŚLĄSKIE,KUBACKI,337
DOLNOŚLĄSKIE,SZCZĘSNY,337
DOLNOŚLĄSKIE,MŁYNARCZYK,336
DOLNOŚLĄSKIE,NAWROT,336
DOLNOŚLĄSKIE,OSIŃSKI,336
DOLNOŚLĄSKIE,SIERADZKI,336
DOLNOŚLĄSKIE,STANISZEWSKI,336
DOLNOŚLĄSKIE,WOJTOWICZ,336
DOLNOŚLĄSKIE,PROKOP,334
DOLNOŚLĄSKIE,JĘDRZEJEWSKI,333
DOLNOŚLĄSKIE,KAŁUŻA,333
DOLNOŚLĄSKIE,OLEKSY,333
DOLNOŚLĄSKIE,GROCHOWSKI,331
DOLNOŚLĄSKIE,KUCHARCZYK,331
DOLNOŚLĄSKIE,KUJAWA,331
DOLNOŚLĄSKIE,LEŚNIEWSKI,331
DOLNOŚLĄSKIE,TKACZYK,331
DOLNOŚLĄSKIE,JUREK,330
DOLNOŚLĄSKIE,KSIĄŻEK,330
DOLNOŚLĄSKIE,BIERNAT,329
DOLNOŚLĄSKIE,KULCZYCKI,327
DOLNOŚLĄSKIE,GRUSZCZYŃSKI,326
DOLNOŚLĄSKIE,BIENIEK,325
DOLNOŚLĄSKIE,DUDZIAK,325
DOLNOŚLĄSKIE,KULIG,325
DOLNOŚLĄSKIE,WALKOWIAK,325
DOLNOŚLĄSKIE,KACZOROWSKI,324
DOLNOŚLĄSKIE,BIAŁY,323
DOLNOŚLĄSKIE,GRUSZKA,323
DOLNOŚLĄSKIE,PISARSKI,323
DOLNOŚLĄSKIE,RAKOWSKI,323
DOLNOŚLĄSKIE,TOKARZ,323
DOLNOŚLĄSKIE,KMIECIK,322
DOLNOŚLĄSKIE,SOCHACKI,321
DOLNOŚLĄSKIE,URBANOWICZ,321
DOLNOŚLĄSKIE,FERENC,320
DOLNOŚLĄSKIE,MIERZWA,319
DOLNOŚLĄSKIE,SALAMON,319
DOLNOŚLĄSKIE,WROŃSKI,319
DOLNOŚLĄSKIE,DAWIDOWICZ,318
DOLNOŚLĄSKIE,CZARNY,317
DOLNOŚLĄSKIE,CICHY,316
DOLNOŚLĄSKIE,ZIELONKA,316
DOLNOŚLĄSKIE,SZPAK,315
DOLNOŚLĄSKIE,TROJANOWSKI,315
DOLNOŚLĄSKIE,JAŚKIEWICZ,314
DOLNOŚLĄSKIE,SUCHECKI,314
DOLNOŚLĄSKIE,WNUK,314
DOLNOŚLĄSKIE,NOGA,313
DOLNOŚLĄSKIE,BOREK,312
DOLNOŚLĄSKIE,DOBRZAŃSKI,312
DOLNOŚLĄSKIE,DUL,312
DOLNOŚLĄSKIE,KONARSKI,312
DOLNOŚLĄSKIE,BOCHENEK,311
DOLNOŚLĄSKIE,GÓRKA,310
DOLNOŚLĄSKIE,ILNICKI,310
DOLNOŚLĄSKIE,RADOMSKI,310
DOLNOŚLĄSKIE,STACHURSKI,310
DOLNOŚLĄSKIE,WOJTCZAK,310
DOLNOŚLĄSKIE,LACHOWICZ,309
DOLNOŚLĄSKIE,SZCZEPANIK,309
DOLNOŚLĄSKIE,KAŁUŻNY,308
DOLNOŚLĄSKIE,AUGUSTYN,307
DOLNOŚLĄSKIE,DOLIŃSKI,307
DOLNOŚLĄSKIE,LITWIN,307
DOLNOŚLĄSKIE,SZWED,307
DOLNOŚLĄSKIE,DOBOSZ,306
DOLNOŚLĄSKIE,CHMURA,305
DOLNOŚLĄSKIE,DEC,305
DOLNOŚLĄSKIE,KŁOS,305
DOLNOŚLĄSKIE,TRZECIAK,304
DOLNOŚLĄSKIE,CICHOCKI,303
DOLNOŚLĄSKIE,MURAWSKI,303
DOLNOŚLĄSKIE,ROSIAK,303
DOLNOŚLĄSKIE,GAWROŃSKI,302
DOLNOŚLĄSKIE,JEZIERSKI,302
DOLNOŚLĄSKIE,PORĘBA,302
DOLNOŚLĄSKIE,MISIAK,301
DOLNOŚLĄSKIE,ŻMUDA,301
DOLNOŚLĄSKIE,LACH,300
DOLNOŚLĄSKIE,MACKIEWICZ,300
DOLNOŚLĄSKIE,PELC,300
DOLNOŚLĄSKIE,STADNIK,300
DOLNOŚLĄSKIE,WITCZAK,299
DOLNOŚLĄSKIE,KOMARNICKI,298
DOLNOŚLĄSKIE,ŁOZIŃSKI,298
DOLNOŚLĄSKIE,MIKA,298
DOLNOŚLĄSKIE,MULARCZYK,298
DOLNOŚLĄSKIE,KŁOSOWSKI,297
DOLNOŚLĄSKIE,NIEDZIELSKI,297
DOLNOŚLĄSKIE,BARTCZAK,296
DOLNOŚLĄSKIE,GOŁĄB,295
DOLNOŚLĄSKIE,BARTKOWIAK,294
DOLNOŚLĄSKIE,MAZIARZ,294
DOLNOŚLĄSKIE,WOJTASIK,294
DOLNOŚLĄSKIE,ZYGMUNT,294
DOLNOŚLĄSKIE,JURKOWSKI,293
DOLNOŚLĄSKIE,SKIBIŃSKI,293
DOLNOŚLĄSKIE,SZCZERBA,293
DOLNOŚLĄSKIE,ŚLUSARCZYK,293
DOLNOŚLĄSKIE,WOJTAS,293
DOLNOŚLĄSKIE,BOGUCKI,292
DOLNOŚLĄSKIE,PASZKIEWICZ,292
DOLNOŚLĄSKIE,SZKUDLAREK,292
DOLNOŚLĄSKIE,FRANKOWSKI,290
DOLNOŚLĄSKIE,BORECKI,289
DOLNOŚLĄSKIE,DEREŃ,289
DOLNOŚLĄSKIE,KOMOROWSKI,288
DOLNOŚLĄSKIE,PUZIO,288
DOLNOŚLĄSKIE,ŁOŚ,287
DOLNOŚLĄSKIE,RYBKA,287
DOLNOŚLĄSKIE,KOSTRZEWA,286
DOLNOŚLĄSKIE,NIEDŹWIECKI,286
DOLNOŚLĄSKIE,KORCZYŃSKI,285
DOLNOŚLĄSKIE,ZARĘBA,285
DOLNOŚLĄSKIE,CZEKAJ,284
DOLNOŚLĄSKIE,GRUDZIEŃ,284
DOLNOŚLĄSKIE,MALIK,284
DOLNOŚLĄSKIE,TWARDOWSKI,284
