Województwo zameldowania na pobyt stały,Nazwisko aktualne,Liczba
DOLNOŚLĄSKIE,SZCZYGIEŁ,415
DOLNOŚLĄSKIE,BEDNARCZYK,413
DOLNOŚLĄSKIE,CICHOŃ,413
DOLNOŚLĄSKIE,ŻUREK,413
DOLNOŚLĄSKIE,ŻUK,410
DOLNOŚLĄSKIE,BOROWIEC,406
DOLNOŚLĄSKIE,GÓRA,406
DOLNOŚLĄSKIE,JANOWSKA,406
DOLNOŚLĄSKIE,KUŚ,405
DOLNOŚLĄSKIE,HAJDUK,402
DOLNOŚLĄSKIE,NIEMIEC,402
DOLNOŚLĄSKIE,SZOSTAK,402
DOLNOŚLĄSKIE,ROSIŃSKA,401
DOLNOŚLĄSKIE,POPŁAWSKA,400
DOLNOŚLĄSKIE,STANISZEWSKA,398
DOLNOŚLĄSKIE,DĘBSKA,394
DOLNOŚLĄSKIE,GAWEŁ,393
DOLNOŚLĄSKIE,KRÓLIKOWSKA,393
DOLNOŚLĄSKIE,PIETRZYK,391
DOLNOŚLĄSKIE,STEFANIAK,391
DOLNOŚLĄSKIE,KOGUT,390
DOLNOŚLĄSKIE,OSIŃSKA,389
DOLNOŚLĄSKIE,SIERADZKA,389
DOLNOŚLĄSKIE,SKRZYPCZAK,389
DOLNOŚLĄSKIE,SOŁTYS,389
DOLNOŚLĄSKIE,MAĆKOWIAK,388
DOLNOŚLĄSKIE,GRACZYK,387
DOLNOŚLĄSKIE,TOKARSKA,386
DOLNOŚLĄSKIE,LISIECKA,385
DOLNOŚLĄSKIE,SKRZYPEK,385
DOLNOŚLĄSKIE,AUGUSTYNIAK,384
DOLNOŚLĄSKIE,GAŁKA,384
DOLNOŚLĄSKIE,MIKOŁAJCZAK,382
DOLNOŚLĄSKIE,BURZYŃSKA,381
DOLNOŚLĄSKIE,CYGAN,380
DOLNOŚLĄSKIE,PAŁKA,379
DOLNOŚLĄSKIE,JANAS,378
DOLNOŚLĄSKIE,BANACH,377
DOLNOŚLĄSKIE,SKOCZYLAS,377
DOLNOŚLĄSKIE,WIĄCEK,376
DOLNOŚLĄSKIE,CZYŻ,374
DOLNOŚLĄSKIE,JANUS,373
DOLNOŚLĄSKIE,WĄSIK,373
DOLNOŚLĄSKIE,GAWLIK,371
DOLNOŚLĄSKIE,JĘDRZEJCZYK,371
DOLNOŚLĄSKIE,MIELNIK,371
DOLNOŚLĄSKIE,SIWEK,371
DOLNOŚLĄSKIE,JANUSZ,369
DOLNOŚLĄSKIE,TRACZ,369
DOLNOŚLĄSKIE,CICHOCKA,368
DOLNOŚLĄSKIE,KULESZA,368
DOLNOŚLĄSKIE,LACH,367
DOLNOŚLĄSKIE,MAJCHER,367
DOLNOŚLĄSKIE,OLEKSY,367
DOLNOŚLĄSKIE,SURMA,367
DOLNOŚLĄSKIE,SZYDEŁKO,366
DOLNOŚLĄSKIE,PASZKOWSKA,365
DOLNOŚLĄSKIE,KUBACKA,364
DOLNOŚLĄSKIE,KUJAWA,364
DOLNOŚLĄSKIE,PIEKARSKA,363
DOLNOŚLĄSKIE,URBANOWICZ,363
DOLNOŚLĄSKIE,KULCZYCKA,362
DOLNOŚLĄSKIE,RACZYŃSKA,362
DOLNOŚLĄSKIE,IWANICKA,361
DOLNOŚLĄSKIE,GRUSZCZYŃSKA,360
DOLNOŚLĄSKIE,MASŁOWSKA,360
DOLNOŚLĄSKIE,NAWROT,360
DOLNOŚLĄSKIE,PIETRAS,360
DOLNOŚLĄSKIE,ZIELONKA,360
DOLNOŚLĄSKIE,GRZYB,359
DOLNOŚLĄSKIE,SZWED,359
DOLNOŚLĄSKIE,MAJKA,358
DOLNOŚLĄSKIE,PIĄTKOWSKA,358
DOLNOŚLĄSKIE,JAŚKIEWICZ,357
DOLNOŚLĄSKIE,LEŚNIEWSKA,357
DOLNOŚLĄSKIE,SIWAK,357
DOLNOŚLĄSKIE,PROKOP,356
DOLNOŚLĄSKIE,WOJTOWICZ,356
DOLNOŚLĄSKIE,BIENIEK,355
DOLNOŚLĄSKIE,ROGALSKA,355
DOLNOŚLĄSKIE,TKACZYK,355
DOLNOŚLĄSKIE,JURKIEWICZ,354
DOLNOŚLĄSKIE,BILSKA,353
DOLNOŚLĄSKIE,CZAJA,353
DOLNOŚLĄSKIE,FILIPIAK,351
DOLNOŚLĄSKIE,KISIEL,350
DOLNOŚLĄSKIE,MŁYNARCZYK,350
DOLNOŚLĄSKIE,SZAFRAŃSKA,350
DOLNOŚLĄSKIE,DUDZIAK,348
DOLNOŚLĄSKIE,WROŃSKA,348
DOLNOŚLĄSKIE,KULIG,347
DOLNOŚLĄSKIE,WOJTCZAK,347
DOLNOŚLĄSKIE,KUCHARCZYK,346
DOLNOŚLĄSKIE,MACKIEWICZ,346
DOLNOŚLĄSKIE,RÓŻYCKA,346
DOLNOŚLĄSKIE,WALKOWIAK,346
DOLNOŚLĄSKIE,BIERNAT,345
DOLNOŚLĄSKIE,ILNICKA,345
DOLNOŚLĄSKIE,SŁOWIŃSKA,345
DOLNOŚLĄSKIE,KSIĄŻEK,344
DOLNOŚLĄSKIE,DOBOSZ,343
DOLNOŚLĄSKIE,GÓRNA,342
DOLNOŚLĄSKIE,GRUSZKA,342
DOLNOŚLĄSKIE,KACZOROWSKA,341
DOLNOŚLĄSKIE,MATYSIAK,341
DOLNOŚLĄSKIE,SALAMON,341
DOLNOŚLĄSKIE,BOCHENEK,340
DOLNOŚLĄSKIE,DAWIDOWICZ,340
DOLNOŚLĄSKIE,GROCHOWSKA,340
DOLNOŚLĄSKIE,BOREK,339
DOLNOŚLĄSKIE,KMIECIK,339
DOLNOŚLĄSKIE,MIERZWA,338
DOLNOŚLĄSKIE,ŻMUDA,335
DOLNOŚLĄSKIE,RADOMSKA,334
DOLNOŚLĄSKIE,FERENC,333
DOLNOŚLĄSKIE,CHMURA,331
DOLNOŚLĄSKIE,GAWROŃSKA,331
DOLNOŚLĄSKIE,KONARSKA,330
DOLNOŚLĄSKIE,WIĘCKOWSKA,330
DOLNOŚLĄSKIE,MIKA,329
DOLNOŚLĄSKIE,SKIBIŃSKA,329
DOLNOŚLĄSKIE,TWARDOWSKA,329
DOLNOŚLĄSKIE,KULA,328
DOLNOŚLĄSKIE,WITCZAK,328
DOLNOŚLĄSKIE,DOBRZAŃSKA,327
DOLNOŚLĄSKIE,STRZELCZYK,327
DOLNOŚLĄSKIE,KAŁUŻA,326
DOLNOŚLĄSKIE,LACHOWICZ,326
DOLNOŚLĄSKIE,SZPAK,326
DOLNOŚLĄSKIE,BARTKOWIAK,325
DOLNOŚLĄSKIE,SOCHACKA,325
DOLNOŚLĄSKIE,MURAWSKA,324
DOLNOŚLĄSKIE,BARTCZAK,323
DOLNOŚLĄSKIE,PAWLIKOWSKA,323
DOLNOŚLĄSKIE,RAKOWSKA,323
DOLNOŚLĄSKIE,ROSIAK,323
DOLNOŚLĄSKIE,SZCZEPANIK,323
DOLNOŚLĄSKIE,PILARSKA,322
DOLNOŚLĄSKIE,SZCZĘSNA,322
DOLNOŚLĄSKIE,JUREK,321
DOLNOŚLĄSKIE,NIEDZIELSKA,320
DOLNOŚLĄSKIE,TOKARZ,320
DOLNOŚLĄSKIE,TROJANOWSKA,320
DOLNOŚLĄSKIE,DUL,319
DOLNOŚLĄSKIE,JURKOWSKA,319
DOLNOŚLĄSKIE,PASZKIEWICZ,319
DOLNOŚLĄSKIE,KONOPKA,317
DOLNOŚLĄSKIE,KURZAWA,317
DOLNOŚLĄSKIE,BOGUCKA,316
DOLNOŚLĄSKIE,ŚLUSARCZYK,316
DOLNOŚLĄSKIE,KOSTRZEWA,315
DOLNOŚLĄSKIE,PATER,315
DOLNOŚLĄSKIE,PELC,315
DOLNOŚLĄSKIE,JĘDRZEJEWSKA,314
DOLNOŚLĄSKIE,JEZIERSKA,313
DOLNOŚLĄSKIE,MAZIARZ,313
DOLNOŚLĄSKIE,STACHURSKA,313
DOLNOŚLĄSKIE,GÓRKA,312
DOLNOŚLĄSKIE,LASOTA,312
DOLNOŚLĄSKIE,DEC,311
DOLNOŚLĄSKIE,CISZEWSKA,309
DOLNOŚLĄSKIE,ZAGÓRSKA,309
DOLNOŚLĄSKIE,PISARSKA,308
DOLNOŚLĄSKIE,WOLAŃSKA,308
DOLNOŚLĄSKIE,BORECKA,307
DOLNOŚLĄSKIE,FRANKOWSKA,307
DOLNOŚLĄSKIE,LITWIN,307
DOLNOŚLĄSKIE,KARCZEWSKA,305
DOLNOŚLĄSKIE,KRYSIAK,305
DOLNOŚLĄSKIE,KOMOROWSKA,304
DOLNOŚLĄSKIE,KOZAKIEWICZ,304
DOLNOŚLĄSKIE,ŁOŚ,303
DOLNOŚLĄSKIE,NOGA,303
DOLNOŚLĄSKIE,SUCHECKA,303
DOLNOŚLĄSKIE,DOLIŃSKA,302
DOLNOŚLĄSKIE,CZYŻEWSKA,301
DOLNOŚLĄSKIE,MOKRZYCKA,301
DOLNOŚLĄSKIE,WOŹNA,301
DOLNOŚLĄSKIE,WÓJCICKA,301
DOLNOŚLĄSKIE,AUGUSTYN,300
DOLNOŚLĄSKIE,DĄBEK,300
DOLNOŚLĄSKIE,DEREŃ,300
DOLNOŚLĄSKIE,NIEDŹWIECKA,300
DOLNOŚLĄSKIE,ZYGMUNT,300
DOLNOŚLĄSKIE,PIOTROWICZ,299
DOLNOŚLĄSKIE,BARTOSIK,298
DOLNOŚLĄSKIE,MISIAK,298
DOLNOŚLĄSKIE,GODLEWSKA,297
DOLNOŚLĄSKIE,GORCZYCA,297
DOLNOŚLĄSKIE,WOJTASIK,296
DOLNOŚLĄSKIE,KORCZYŃSKA,295
DOLNOŚLĄSKIE,POTOCKA,295
DOLNOŚLĄSKIE,PRZYBYŁA,295
DOLNOŚLĄSKIE,JAGIEŁŁO,294
DOLNOŚLĄSKIE,KŁOSOWSKA,294
DOLNOŚLĄSKIE,WYSOCZAŃSKA,294
DOLNOŚLĄSKIE,CZECHOWSKA,293
DOLNOŚLĄSKIE,GRUDZIEŃ,293
DOLNOŚLĄSKIE,TURKIEWICZ,293
DOLNOŚLĄSKIE,ZABŁOCKA,293
DOLNOŚLĄSKIE,KUŚNIERZ,292
DOLNOŚLĄSKIE,MULARCZYK,292
DOLNOŚLĄSKIE,NIEWIADOMSKA,292
DOLNOŚLĄSKIE,PUZIO,292
DOLNOŚLĄSKIE,MALICKA,291
DOLNOŚLĄSKIE,PAWŁOWICZ,291
DOLNOŚLĄSKIE,TRZECIAK,291
DOLNOŚLĄSKIE,JANUSZKIEWICZ,290
DOLNOŚLĄSKIE,KAŁUŻNA,290
DOLNOŚLĄSKIE,ŚWIERCZYŃSKA,290
DOLNOŚLĄSKIE,WNUK,289
DOLNOŚLĄSKIE,RUSIN,288
DOLNOŚLĄSKIE,CHUDZIK,286
DOLNOŚLĄSKIE,CZERNIAK,286
DOLNOŚLĄSKIE,DOMARADZKA,286
DOLNOŚLĄSKIE,FILIP,286
DOLNOŚLĄSKIE,MIKULSKA,286
DOLNOŚLĄSKIE,RYBKA,286
DOLNOŚLĄSKIE,TUROWSKA,286
DOLNOŚLĄSKIE,KRAKOWIAK,285
DOLNOŚLĄSKIE,SCHMIDT,285
DOLNOŚLĄSKIE,CZERNIAWSKA,284
DOLNOŚLĄSKIE,WIŚNIOWSKA,284
DOLNOŚLĄSKIE,KASZUBA,283
DOLNOŚLĄSKIE,KŁOS,283
DOLNOŚLĄSKIE,STOLARCZYK,283
DOLNOŚLĄSKIE,KOSTECKA,282
DOLNOŚLĄSKIE,GĄSIOROWSKA,281
DOLNOŚLĄSKIE,PORĘBA,281
DOLNOŚLĄSKIE,JAGODZIŃSKA,280
DOLNOŚLĄSKIE,KOMARNICKA,280
DOLNOŚLĄSKIE,KWIECIŃSKA,280
DOLNOŚLĄSKIE,MALIK,280
DOLNOŚLĄSKIE,SŁAWIŃSKA,280
